"sentence_id","label","sentence","detoxified","explanation","has_code_switching","code_switched_language"
"1","toxic","Listen here, bruh, I don’t wanna hear another word of your nonsense, so por favor keep your drama to yourself, ya feel me?","I’m feeling overwhelmed by this conversation. Let’s pause and pick it up when we’re calmer.","Uses dialect (“bruh,” “ya feel me?”) plus Spanish (“por favor”), telling the other person to remain quiet.","yes","Spanish"
"2","toxic","Man, y’all better get your act together, ’cause nobody round here is buyin’ your sorry excuses, capisce?","I think there’s a misunderstanding. Let’s clarify the situation in a more respectful way.","Uses informal dialect (“y’all”) and code-switches to Italian (“capisce?”) at the end.","yes","Italian"
"3","toxic","I’m sick of you runnin’ your mouth like you own the place, but you ain’t got a clue what’s up, compadre.","I’m concerned we’re not on the same page. Let’s discuss the issue calmly when possible.","Condescending slang (“runnin’ your mouth,” “ain’t got a clue”) plus Spanish code-switch (“compadre”).","yes","Spanish"
"4","toxic","Yo, I swear if you keep that smug attitude, I might lose it and teach you a lesson you won’t forget.","I feel upset by the tone of this conversation. Maybe we can talk after a short break.","Includes a veiled threat (“teach you a lesson”) without explicit code-switching.","no","none"
"5","toxic","Look, homes, your so-called “expert opinion” ain’t worth squat, so mejor cállate y vete por ahí.","Perhaps we should consider different perspectives. Let’s remain open to new ideas without insults.","Sarcastic dismissal and Spanish code-switch (“mejor cállate y vete por ahí”).","yes","Spanish"
"6","toxic","I’m done pretendin’ you’ve got a single brain cell to rub together—s’like talkin’ to a brick wall here.","I think we need a more constructive dialogue. Let’s take a break and revisit the topic.","Insults intelligence (“single brain cell”) in an informal dialect. No code-switching present.","no","none"
"7","toxic","Why don’t you do everyone a favor and disappear, parce que nobody wants your drama here anyway?","I believe you’re frustrated, but telling someone to leave isn’t helpful. Let’s find common ground.","Threatening tone telling someone to go away, plus French code-switch (“parce que”).","yes","French"
"8","toxic","Dawg, you keep actin’ all big and bad, but let me tell you, ain’t nobody tremblin’ in their boots.","I see you’re trying to assert yourself. Maybe we can share concerns in a more polite way.","Mocking the other person’s supposed toughness. No code-switching included.","no","none"
"58","non-toxic","NA","I’d prefer a different approach, but I’m open to hearing your suggestions before we decide.","Suggests disagreement without being rude or demeaning.","no","none"
"59","non-toxic","NA","You’ve made some interesting points, though I believe we can refine the argument further for clarity.","Compliments part of the other person’s work and suggests improvements politely.","no","none"
"9","toxic","Real talk, I’m gonna snap if you keep runnin’ that mouth, so just shut it before things get ugly.","I feel my patience running thin. Let’s step back and continue this discussion later.","Threatening language (“I’m gonna snap”) with no code-switching used.","no","none"
"10","toxic","Look, I don’t give a damn about your excuses; you’re straight up wasting my time, hermano.","I’m not convinced by your reasons, but we can still talk and reach a mutual understanding.","Insulting dismissiveness and Spanish code-switch (“hermano”).","yes","Spanish"
"11","toxic","Boy, you talkin’ nonsense half the time, and the other half you’re just blowin’ hot air, so kindly hush.","I think we have a communication gap. Could we clarify the points without negativity?","Dismissive slang (“blowin’ hot air”) instructing the other to be silent. No code-switching.","no","none"
"12","toxic","All that bragging you do is straight garbage, mon ami, so why not spare us the headache?","We could focus on the facts instead of self-praise. Let’s keep things objective.","Uses French code-switch (“mon ami”) and labels the other person’s talk as “straight garbage.”","yes","French"
"13","toxic","Fam, I’ve had enough of your pitiful sob story—nobody’s buyin’ it, so get real or get lost.","I understand you might be upset, but maybe we can find a more productive way to resolve this.","Insulting dismissal of someone’s story. No code-switching present.","no","none"
"14","toxic","You keep flexing like you’re some top dog, but news flash: you’re barely relevant around here, señor.","I think there’s a misunderstanding of roles. Let’s calmly clarify everyone’s responsibilities.","Belittles the person’s importance and code-switches to Spanish (“señor”).","yes","Spanish"
"15","toxic","Dude, you can’t even handle basic stuff, yet you actin’ like you’re El Jefe—give me a break.","Could we calmly identify what tasks are challenging for you? Let’s find a solution together.","Sarcastic tone and Spanish code-switch (“El Jefe”).","yes","Spanish"
"16","toxic","If you don’t stop spoutin’ off at the mouth, I’m gonna have to put you in your place, plain and simple.","I’m feeling irritated, but let’s discuss this in a more constructive manner.","Threatening comment about putting someone “in their place.” No code-switching.","no","none"
"17","toxic","You run your mouth so much, I bet even the walls are tired of your babble, amico.","I think it’s better to hear each other out in a calmer environment rather than hurl insults.","Insults the person’s talkativeness, with Italian code-switch (“amico”).","yes","Italian"
